service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS123-1-Wdy-02,0,1,1,1,1,0,0,20230221,20230224
BUS123-2-Wdy-02,0,1,1,1,1,0,0,20230221,20230224
BUS123-3-Wdy-02,0,0,0,0,1,0,0,20230203,20230310
BUS123-4-Wdy-02,0,0,0,0,1,0,0,20230224,20230224
BUS123-5-Wdy-02,0,1,1,1,0,0,0,20230221,20230223
BUS123-6-Wdy-02,1,1,1,1,0,0,0,20230202,20230309
BUS123-7-Wdy-02,0,1,1,1,1,0,0,20230221,20230224
BUS123-8-Wdy-02,0,1,1,1,1,0,0,20230221,20230224
BUS123-9-Wdy-02,0,1,1,1,1,0,0,20230221,20230224
BUS123-A-Wdy-02,0,1,1,1,1,0,0,20230221,20230224
BUS123-B-Wdy-02,0,1,1,1,1,0,0,20230221,20230224
BUS123-C-Wdy-02,0,1,1,1,1,0,0,20230221,20230224
Boat-1-SaMarch-Fll-22,0,0,0,0,0,1,0,20230304,20230311
Boat-1-SuMarch-Fll-22,0,0,0,0,0,0,1,20230305,20230305
Boat-1-WdyMarch-Fll-22,1,1,1,1,1,0,0,20230301,20230310
Boat-2-Wdy-Fll-22,1,1,1,1,1,0,0,20230202,20230310
Boat-3-Sa-Fll-22,0,0,0,0,0,1,0,20230204,20230311
Boat-3-Su-Fll-22,0,0,0,0,0,0,1,20230205,20230305
Boat-3-Wdy-Fll-22,1,1,1,1,1,0,0,20230202,20230310
CR-1-1ReadingFebMarShuttle-Snd,0,0,0,0,0,0,1,20230212,20230212
CR-1-1ReadingFebMarShuttle-Std,0,0,0,0,0,1,0,20230204,20230211
CR-1-1ReadingFebMarShuttle-Wkd,1,1,1,1,1,0,0,20230208,20230216
CR-2-LynnShuttleWtr-Snd,0,0,0,0,0,0,1,20230205,20230305
CR-2-LynnShuttleWtr-Std,0,0,0,0,0,1,0,20230204,20230311
CR-2-LynnShuttleWtr-Wkd,1,1,1,1,1,0,0,20230202,20230310
FLL 22-N-Sa-1,0,0,0,0,0,1,0,20230204,20230204
FLL 22-N-Sa-1-S6d,1,0,0,0,0,1,0,20230218,20230225
FLL 22-N-Sa-1-S72,0,0,0,0,0,1,0,20230204,20230311
FLL 22-N-Sa-1-S9f,0,0,0,0,0,1,0,20230204,20230311
FLL 22-N-Sa-15,0,0,0,0,0,1,0,20230211,20230311
FLL 22-N-Sa-15-S6d,0,0,0,0,0,1,0,20230204,20230211
FLL 22-N-Su-1,0,0,0,0,0,0,1,20230205,20230205
FLL 22-N-Su-1-S6d,0,0,0,0,0,0,1,20230205,20230226
FLL 22-N-Su-1-S72,0,0,0,0,0,0,1,20230205,20230305
FLL 22-N-Su-1-S9f,0,0,0,0,0,0,1,20230205,20230305
FLL 22-N-Su-15,0,0,0,0,0,0,1,20230212,20230305
FLL 22-N-Su-15-S6d,0,0,0,0,0,0,1,20230212,20230212
FLL 22-N-Wdy-1,1,1,0,1,1,0,0,20230202,20230207
FLL 22-N-Wdy-1-S6d,1,1,1,1,1,0,0,20230217,20230303
FLL 22-N-Wdy-1-S72,1,1,1,1,1,0,0,20230202,20230310
FLL 22-N-Wdy-1-S9f,1,1,1,1,1,0,0,20230202,20230310
FLL 22-N-Wdy-15,1,1,1,1,1,0,0,20230208,20230310
FLL 22-N-Wdy-15-NSK,1,1,0,1,1,0,0,20230209,20230310
FLL 22-N-Wdy-15-S6d,1,1,1,1,1,0,0,20230208,20230216
FLL 22-N-Wdy-15-SKI,0,0,1,0,0,0,0,20230208,20230308
FLL 22-S-Sa-1,0,0,0,0,0,1,0,20230204,20230311
FLL 22-S-Sa-1-S86,0,0,0,0,0,1,0,20230204,20230311
FLL 22-S-Sa-1-S8f,0,0,0,0,0,1,0,20230204,20230311
FLL 22-S-Sa-1-Sb4,0,0,0,0,0,1,0,20230204,20230311
FLL 22-S-Sa-1-Sb6,0,0,0,0,0,1,0,20230204,20230311
FLL 22-S-Sa-1-Sc0,0,0,0,0,0,1,0,20230204,20230311
FLL 22-S-Sa-16,0,0,0,0,0,1,0,20230204,20230311
FLL 22-S-Su-1,0,0,0,0,0,0,1,20230205,20230305
FLL 22-S-Su-1-S86,0,0,0,0,0,0,1,20230205,20230305
FLL 22-S-Su-1-S8f,0,0,0,0,0,0,1,20230205,20230305
