from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer,from_trip_id,to_trip_id
2231,70071,1,,,,,,54978645-AlewifeKendall1,54978645-AlewifeKendall2
2231,70071,1,,,,,,54978646-AlewifeKendall1,54978646-AlewifeKendall2
2231,70071,1,,,,,,54978650-AlewifeKendall1,54978650-AlewifeKendall2
2231,70071,1,,,,,,54978651-AlewifeKendall1,54978651-AlewifeKendall2
2231,70071,1,,,,,,54978653-AlewifeKendall1,54978653-AlewifeKendall2
2231,70071,1,,,,,,54978654-AlewifeKendall1,54978654-AlewifeKendall2
2231,70071,1,,,,,,54978657-AlewifeKendall1,54978657-AlewifeKendall2
2231,70071,1,,,,,,54978662-AlewifeKendall1,54978662-AlewifeKendall2
2231,70071,1,,,,,,54978663-AlewifeKendall1,54978663-AlewifeKendall2
2231,70071,1,,,,,,54978665-AlewifeKendall1,54978665-AlewifeKendall2
2231,70071,1,,,,,,54978666-AlewifeKendall1,54978666-AlewifeKendall2
2231,70071,1,,,,,,54978671-AlewifeKendall1,54978671-AlewifeKendall2
2231,70071,1,,,,,,54978672-AlewifeKendall1,54978672-AlewifeKendall2
2231,70071,1,,,,,,54978674-AlewifeKendall1,54978674-AlewifeKendall2
2231,70071,1,,,,,,54978675-AlewifeKendall1,54978675-AlewifeKendall2
2231,70071,1,,,,,,54978676-AlewifeKendall1,54978676-AlewifeKendall2
2231,70071,1,,,,,,54978678-AlewifeKendall1,54978678-AlewifeKendall2
2231,70071,1,,,,,,54978679-AlewifeKendall1,54978679-AlewifeKendall2
2231,70071,1,,,,,,54978680-AlewifeKendall1,54978680-AlewifeKendall2
2231,70071,1,,,,,,54978681-AlewifeKendall1,54978681-AlewifeKendall2
2231,70071,1,,,,,,54978683-AlewifeKendall1,54978683-AlewifeKendall2
2231,70071,1,,,,,,54978684-AlewifeKendall1,54978684-AlewifeKendall2
2231,70071,1,,,,,,54978686-AlewifeKendall1,54978686-AlewifeKendall2
2231,70071,1,,,,,,54978692-AlewifeKendall1,54978692-AlewifeKendall2
2231,70071,1,,,,,,54978693-AlewifeKendall1,54978693-AlewifeKendall2
2231,70071,1,,,,,,54978694-AlewifeKendall1,54978694-AlewifeKendall2
2231,70071,1,,,,,,54978697-AlewifeKendall1,54978697-AlewifeKendall2
2231,70071,1,,,,,,54978700-AlewifeKendall1,54978700-AlewifeKendall2
2231,70071,1,,,,,,54978703-AlewifeKendall1,54978703-AlewifeKendall2
2231,70071,1,,,,,,54978706-AlewifeKendall1,54978706-AlewifeKendall2
2231,70071,1,,,,,,54978709-AlewifeKendall1,54978709-AlewifeKendall2
2231,70071,1,,,,,,54978712-AlewifeKendall1,54978712-AlewifeKendall2
2231,70071,1,,,,,,54978714-AlewifeKendall1,54978714-AlewifeKendall2
2231,70071,1,,,,,,54978715-AlewifeKendall1,54978715-AlewifeKendall2
2231,70071,1,,,,,,54978719-AlewifeKendall1,54978719-AlewifeKendall2
2231,70071,1,,,,,,54978722-AlewifeKendall1,54978722-AlewifeKendall2
2231,70071,1,,,,,,54978728-AlewifeKendall1,54978728-AlewifeKendall2
2231,70071,1,,,,,,54978729-AlewifeKendall1,54978729-AlewifeKendall2
2231,70071,1,,,,,,54978730-AlewifeKendall1,54978730-AlewifeKendall2
2231,70071,1,,,,,,54978732-AlewifeKendall1,54978732-AlewifeKendall2
2231,70071,1,,,,,,54978733-AlewifeKendall1,54978733-AlewifeKendall2
2231,70071,1,,,,,,54978735-AlewifeKendall1,54978735-AlewifeKendall2
2231,70071,1,,,,,,54978736-AlewifeKendall1,54978736-AlewifeKendall2
2231,70071,1,,,,,,54978737-AlewifeKendall1,54978737-AlewifeKendall2
2231,70071,1,,,,,,54978738-AlewifeKendall1,54978738-AlewifeKendall2
2231,70071,1,,,,,,54978739-AlewifeKendall1,54978739-AlewifeKendall2
2231,70071,1,,,,,,54978740-AlewifeKendall1,54978740-AlewifeKendall2
2231,70071,1,,,,,,54978742-AlewifeKendall1,54978742-AlewifeKendall2
2231,70071,1,,,,,,54978743-AlewifeKendall1,54978743-AlewifeKendall2
2231,70071,1,,,,,,54978745-AlewifeKendall1,54978745-AlewifeKendall2
2231,70071,1,,,,,,54978746-AlewifeKendall1,54978746-AlewifeKendall2
2231,70071,1,,,,,,54978749-AlewifeKendall1,54978749-AlewifeKendall2
2231,70071,1,,,,,,54978750-AlewifeKendall1,54978750-AlewifeKendall2
2231,70071,1,,,,,,54978751-AlewifeKendall1,54978751-AlewifeKendall2
2231,70071,1,,,,,,54978752-AlewifeKendall1,54978752-AlewifeKendall2
2231,70071,1,,,,,,54978754-AlewifeKendall1,54978754-AlewifeKendall2
2231,70071,1,,,,,,54978756-AlewifeKendall1,54978756-AlewifeKendall2
2231,70071,1,,,,,,54978758-AlewifeKendall1,54978758-AlewifeKendall2
2231,70071,1,,,,,,54978762-AlewifeKendall1,54978762-AlewifeKendall2
