trip_id,trip_property_id,value
52726824-PRIV42022-hpp42011-Weekday-01,note,Will go to Point Shirley if requested
52727324-PRIV42022-hpp42ns1-Weekday-01,note,Will go to Point Shirley if requested
53143679-BUS42022-hbt42011-Weekday-02,note,Does not run during school vacation
53143679-BUS42022-hbt42011-Weekday-02,trip_type,supplemental
53143680-BUS42022-hbt42011-Weekday-02,note,Does not run during school vacation
53143680-BUS42022-hbt42011-Weekday-02,trip_type,supplemental
53144223-BUS42022-hbt42011-Weekday-02,note,Does not run during school vacation
53144223-BUS42022-hbt42011-Weekday-02,trip_type,supplemental
53144902-BUS42022-hbt42011-Weekday-02,note,Does not run during school vacation
53144902-BUS42022-hbt42011-Weekday-02,trip_type,supplemental
53144921-BUS42022-hbt42011-Weekday-02,note,Does not run during school vacation
53144921-BUS42022-hbt42011-Weekday-02,trip_type,supplemental
53145774-BUS42022-hbt42011-Weekday-02,note,Does not run during school vacation
53145774-BUS42022-hbt42011-Weekday-02,trip_type,supplemental
53145787-BUS42022-hbt42011-Weekday-02,note,Does not run during school vacation
53145787-BUS42022-hbt42011-Weekday-02,trip_type,supplemental
53164869-BUS42022-hba42011-Weekday-02,note,Does not run during school vacation
53164869-BUS42022-hba42011-Weekday-02,trip_type,supplemental
53164974-BUS42022-hba42011-Weekday-02,note,Does not run during school vacation
53164974-BUS42022-hba42011-Weekday-02,trip_type,supplemental
53164978-BUS42022-hba42011-Weekday-02,note,Does not run during school vacation
53164978-BUS42022-hba42011-Weekday-02,trip_type,supplemental
53165049-BUS42022-hba42011-Weekday-02,note,Does not run during school vacation
53165049-BUS42022-hba42011-Weekday-02,trip_type,supplemental
53165118-BUS42022-hba42011-Weekday-02,note,Does not run during school vacation
53165118-BUS42022-hba42011-Weekday-02,trip_type,supplemental
53165210-BUS42022-hba42011-Weekday-02,note,Does not run during school vacation
53165210-BUS42022-hba42011-Weekday-02,trip_type,supplemental
53165234-BUS42022-hba42011-Weekday-02,note,Does not run during school vacation
53165234-BUS42022-hba42011-Weekday-02,trip_type,supplemental
53165243-BUS42022-hba42011-Weekday-02,note,Does not run during school vacation
53165243-BUS42022-hba42011-Weekday-02,trip_type,supplemental
53165305-BUS42022-hba42011-Weekday-02,note,Does not run during school vacation
53165305-BUS42022-hba42011-Weekday-02,trip_type,supplemental
53165318-BUS42022-hba42011-Weekday-02,note,Does not run during school vacation
53165318-BUS42022-hba42011-Weekday-02,trip_type,supplemental
53165499-BUS42022-hba42011-Weekday-02,note,Does not run during school vacation
53165499-BUS42022-hba42011-Weekday-02,trip_type,supplemental
53257825-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257825-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257828-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257828-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257829-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257829-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257830-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257830-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257831-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257831-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257832-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257832-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257833-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257833-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257834-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257834-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257835-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257835-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257837-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257837-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257838-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257838-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257839-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257839-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257840-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257840-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257841-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257841-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257844-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257844-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257845-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257845-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257846-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257846-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257847-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257847-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257849-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257849-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257850-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257850-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257852-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257852-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257853-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257853-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257854-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257854-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257855-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257855-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
